PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source
[PDF][PDF] Development of Knowledge Graph for University Courses Management;2020;I Aliyu;;mecs-press.net;http://www.mecs-press.net/ijeme/ijeme-v10-n2/IJEME-V10-N2-1.pdf;TRUE;FALSE
[PDF][PDF] Industrial Knowledge Graphs Workshop 2017: co-located with the 9th International ACM Web Science Conference 2017 (Preface; part of Content);2017;V Mulwad;;https://dl.acm.org/doi/pdf/10.1145/3091478.3162382;FALSE;FALSE
Knowledge Graph-Based Manufacturing Capability Service Optimal Selection for Industrial Cloud Robotics;2020;Y Ma;;asmedigitalcollection.asme.org;https://asmedigitalcollection.asme.org/MSEC/proceedings-abstract/MSEC2020/V002T07A022/1095775;FALSE;FALSE
Building a Knowledge Graph with Inference for a Production Machine Using the Web of Things Standard;2021;S Meckler;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-79463-7_20;TRUE;FALSE
Non-Functional Requirements Elicitation Based on Domain Knowledge Graph for Automatic Code Generation of Industrial Cyber-Physical Systems;2021;Y Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9589564/;FALSE;FALSE
[PDF][PDF] Do you need a knowledge graph? Helping organizations determine whether a knowledge graph is needed for their problems with the Smals KG Checklist;2021;C Debruyne;;ceur-ws.org;http://ceur-ws.org/Vol-2941/paper3.pdf;FALSE;FALSE
Tax-KG: Taxation Big Data Visualization System for Knowledge Graph;2020;Y Qiu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9339403/;FALSE;FALSE
Design of Warning System Based on Knowledge Graph;2021;T Shao;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3501409.3501502;FALSE;FALSE
Intelligent Maintenance of Shield Tunelling Machine based on Knowledge Graph;2020;H Qin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9442126/;FALSE;FALSE
A novel recommendation algorithm with knowledge graph;2021;L Liu;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1812/1/012035/meta;FALSE;FALSE
Kadaster knowledge graph: Beyond the fifth star of open data;2019;S Ronzhin;;mdpi.com;https://www.mdpi.com/548974;FALSE;FALSE
GridKG: Knowledge Graph Representation of Distribution Grid Data;2020;Y Kor;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9320066/;TRUE;FALSE
Models of Telecommunications Network Monitoring Based on Knowledge Graphs;2020;K Krinkin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9134148/;FALSE;FALSE
Learning through structure: towards deep neuromorphic knowledge graph embeddings;2021;VC Chian;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9607968/;FALSE;FALSE
An Analytical Computing Infrastructure for Monitoring Dynamic Networks Based on Knowledge Graphs;2020;I Kulikov;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-58817-5_15;FALSE;FALSE
Enhancement of power equipment management using knowledge graph;2019;Y Tang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8881348/;FALSE;FALSE
BrainIoT: Brain-Like Productive Services Provisioning with Federated Learning in Industrial IoT;2021;H Yang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9454442/;FALSE;FALSE
Knowledge graphs as enhancers of intelligent digital twins;2021;N Sahlab;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9468219/;FALSE;FALSE
[PDF][PDF] Integrating Semantic Web Technologies and ASP for Product Configuration;2018;S Bischof;;openreview.net;https://openreview.net/pdf?id=xZLUdX3GM6L;FALSE;FALSE
International Journal of Education and Management Engineering (IJEME);xx;AFD Ismail;;mecs-press.org;http://www.mecs-press.org/ijeme/ijeme-v10-n2/v10n2-1.html;FALSE;FALSE
